y,U_x,U_y,U_z,p,k,epsilon,nut
-1,0,0,0,0.0468643,0.00132393,0.0822578,3.62754e-08
-0.98,0.417402,0.000138087,0,0.046877,0.0162968,0.043762,0.000561401
-0.96,0.564491,0.000425728,0,0.0469017,0.0184673,0.0290493,0.00106299
-0.94,0.661714,0.000836179,0,0.0469322,0.018197,0.0215751,0.0013866
-0.92,0.739023,0.00135813,0,0.0469659,0.0171015,0.0167185,0.00157644
-0.9,0.804333,0.00199309,0,0.0470013,0.0154982,0.0131282,0.00164923
-0.88,0.861886,0.00272566,0,0.0470366,0.0135604,0.0101602,0.0016313
-0.86,0.913134,0.00353748,0,0.0470705,0.011394,0.00758495,0.00154247
-0.84,0.957892,0.00439567,0,0.0471015,0.00912968,0.0053621,0.00140411
-0.82,0.996163,0.00523753,0,0.0471289,0.0069603,0.00349968,0.0012531
-0.8,1.02612,0.00597463,0,0.0471512,0.00512509,0.00211395,0.0011338
-0.78,1.04777,0.00653238,0,0.0471682,0.00376381,0.00118504,0.00109062
-0.76,1.06021,0.00682977,0,0.0471799,0.00298993,0.000703786,0.00117203
-0.74,1.06695,0.00694196,0,0.0471895,0.00258126,0.000458397,0.00133921
-0.72,1.07024,0.00693289,0,0.0471981,0.00238244,0.000336709,0.00153959
-0.7,1.0716,0.00685113,0,0.0472061,0.00229043,0.000275297,0.00172792
-0.68,1.07192,0.0067261,0,0.047214,0.00224933,0.000242819,0.00188196
-0.66,1.07166,0.00657409,0,0.0472223,0.00223185,0.000224705,0.00199843
-0.64,1.07107,0.00640366,0,0.0472308,0.00222498,0.000214082,0.00208285
-0.62,1.0703,0.0062209,0,0.0472393,0.00222252,0.000207557,0.00214267
-0.6,1.06943,0.0060299,0,0.0472477,0.00222156,0.000203372,0.00218443
-0.58,1.06852,0.00583315,0,0.047256,0.0022208,0.000200576,0.00221315
-0.56,1.06761,0.00563237,0,0.0472641,0.00221968,0.000198659,0.00223216
-0.54,1.06674,0.00542869,0,0.047272,0.00221792,0.000197368,0.0022432
-0.52,1.06591,0.00522395,0,0.0472797,0.00221583,0.000196359,0.00225046
-0.5,1.06513,0.00501862,0,0.0472872,0.00221353,0.000195559,0.00225497
-0.48,1.0644,0.00481306,0,0.0472944,0.00221111,0.000194944,0.00225712
-0.46,1.06374,0.00460785,0,0.0473013,0.00220876,0.000194469,0.00225783
-0.44,1.06313,0.00440297,0,0.0473079,0.00220652,0.000194063,0.00225798
-0.42,1.06257,0.00419867,0,0.0473143,0.00220448,0.000193739,0.00225756
-0.4,1.06207,0.0039951,0,0.0473203,0.0022027,0.000193478,0.00225695
-0.38,1.06159,0.00379186,0,0.0473261,0.00220103,0.000193245,0.00225626
-0.36,1.06118,0.00358953,0,0.0473315,0.00219971,0.00019307,0.00225559
-0.34,1.0608,0.00338749,0,0.0473367,0.00219849,0.000192911,0.00225495
-0.32,1.06046,0.00318603,0,0.0473415,0.00219748,0.000192782,0.00225439
-0.3,1.06014,0.00298493,0,0.0473461,0.00219661,0.00019267,0.0022539
-0.28,1.05986,0.00278419,0,0.0473504,0.00219586,0.000192574,0.00225348
-0.26,1.0596,0.00258378,0,0.0473543,0.00219522,0.000192492,0.00225313
-0.24,1.05937,0.0023836,0,0.047358,0.00219467,0.000192421,0.00225284
-0.22,1.05916,0.00218366,0,0.0473614,0.0021942,0.00019236,0.00225259
-0.2,1.05897,0.00198391,0,0.0473645,0.0021938,0.000192307,0.00225239
-0.18,1.05881,0.00178431,0,0.0473673,0.00219345,0.000192261,0.00225222
-0.16,1.05867,0.00158487,0,0.0473698,0.00219317,0.000192223,0.00225208
-0.14,1.05853,0.00138549,0,0.0473721,0.00219291,0.000192187,0.00225196
-0.12,1.05843,0.00118628,0,0.0473739,0.00219272,0.000192161,0.00225187
-0.1,1.05833,0.000987063,0,0.0473758,0.00219253,0.000192135,0.00225179
-0.08,1.05827,0.000787989,0,0.0473769,0.00219241,0.00019212,0.00225174
-0.06,1.05821,0.000588922,0,0.047378,0.0021923,0.000192104,0.00225169
-0.04,1.05817,0.000390954,0,0.0473788,0.00219223,0.000192095,0.00225166
-0.02,1.05815,0.000193931,0,0.0473792,0.0021922,0.00019209,0.00225164
-7.88754e-17,1.05813,-3.09132e-06,0,0.0473796,0.00219216,0.000192085,0.00225163
0.02,1.05815,-0.00020011,0,0.0473793,0.0021922,0.00019209,0.00225164
0.04,1.05817,-0.000397129,0,0.047379,0.00219223,0.000192094,0.00225166
0.06,1.05821,-0.000595091,0,0.0473783,0.0021923,0.000192104,0.00225169
0.08,1.05827,-0.000794147,0,0.0473773,0.00219241,0.000192119,0.00225174
0.1,1.05833,-0.000993209,0,0.0473763,0.00219253,0.000192135,0.00225179
0.12,1.05843,-0.00119241,0,0.0473745,0.00219272,0.000192161,0.00225187
0.14,1.05853,-0.0013916,0,0.0473728,0.00219291,0.000192187,0.00225196
0.16,1.05866,-0.00159096,0,0.0473706,0.00219317,0.000192222,0.00225208
0.18,1.05881,-0.00179038,0,0.0473682,0.00219345,0.000192261,0.00225222
0.2,1.05897,-0.00198996,0,0.0473655,0.0021938,0.000192307,0.00225239
0.22,1.05916,-0.00218968,0,0.0473625,0.0021942,0.00019236,0.00225259
0.24,1.05937,-0.00238959,0,0.0473592,0.00219467,0.000192421,0.00225284
0.26,1.0596,-0.00258974,0,0.0473556,0.00219522,0.000192492,0.00225313
0.28,1.05985,-0.00279013,0,0.0473518,0.00219585,0.000192574,0.00225348
0.3,1.06014,-0.00299084,0,0.0473476,0.0021966,0.000192669,0.0022539
0.32,1.06045,-0.00319192,0,0.0473431,0.00219748,0.000192782,0.00225439
0.34,1.0608,-0.00339334,0,0.0473384,0.00219849,0.000192911,0.00225495
0.36,1.06118,-0.00359536,0,0.0473333,0.00219971,0.00019307,0.00225559
0.38,1.06159,-0.00379765,0,0.047328,0.00220103,0.000193244,0.00225626
0.4,1.06206,-0.00400086,0,0.0473223,0.00220269,0.000193478,0.00225695
0.42,1.06257,-0.0042044,0,0.0473164,0.00220448,0.000193738,0.00225756
0.44,1.06312,-0.00440867,0,0.0473101,0.00220652,0.000194062,0.00225798
0.46,1.06374,-0.00461351,0,0.0473036,0.00220876,0.000194469,0.00225783
0.48,1.0644,-0.00481869,0,0.0472968,0.0022111,0.000194943,0.00225712
0.5,1.06513,-0.00502421,0,0.0472897,0.00221353,0.000195558,0.00225496
0.52,1.06591,-0.00522951,0,0.0472823,0.00221583,0.000196359,0.00225046
0.54,1.06674,-0.0054342,0,0.0472747,0.00221792,0.000197367,0.0022432
0.56,1.06761,-0.00563784,0,0.0472669,0.00221967,0.000198658,0.00223215
0.58,1.06852,-0.00583858,0,0.0472588,0.0022208,0.000200576,0.00221314
0.6,1.06942,-0.00603528,0,0.0472506,0.00222156,0.000203373,0.00218441
0.62,1.07029,-0.00622623,0,0.0472423,0.00222251,0.000207558,0.00214265
0.64,1.07107,-0.00640894,0,0.0472339,0.00222497,0.000214084,0.00208283
0.66,1.07166,-0.0065793,0,0.0472255,0.00223185,0.000224708,0.0019984
0.68,1.07192,-0.00673124,0,0.0472173,0.00224933,0.000242825,0.00188192
0.7,1.0716,-0.0068562,0,0.0472095,0.00229044,0.000275308,0.00172788
0.72,1.07023,-0.00693786,0,0.0472016,0.00238248,0.000336732,0.00153954
0.74,1.06694,-0.00694679,0,0.0471931,0.00258135,0.000458444,0.00133917
0.76,1.0602,-0.00683444,0,0.0471836,0.00299011,0.000703881,0.00117202
0.78,1.04776,-0.00653681,0,0.0471719,0.00376413,0.00118522,0.00109064
0.8,1.02611,-0.00597875,0,0.047155,0.00512557,0.00211426,0.00113385
0.82,0.996147,-0.0052413,0,0.0471328,0.00696093,0.00350012,0.00125317
0.84,0.957875,-0.00439904,0,0.0471055,0.00913038,0.00536264,0.00140418
0.86,0.913114,-0.00354041,0,0.0470745,0.0113947,0.00758555,0.00154254
0.88,0.861865,-0.00272812,0,0.0470407,0.0135611,0.0101608,0.00163137
0.9,0.804311,-0.00199507,0,0.0470054,0.0154987,0.0131287,0.00164929
0.92,0.739001,-0.00135962,0,0.04697,0.0171019,0.0167188,0.00157648
0.94,0.661693,-0.000837184,0,0.0469362,0.0181971,0.0215749,0.00138663
0.96,0.564472,-0.000426286,0,0.0469057,0.0184671,0.0290483,0.00106301
0.98,0.417387,-0.000138282,0,0.046881,0.0162964,0.0437595,0.000561406
1,3.76107e-15,-3.19035e-19,0,0.0468683,0.00132387,0.0822543,3.62731e-08
